episode,close distance,MSE,Reward,Avg reward,time,timeframe,steps
1,0,0.000,24.180,24.180,5285,317,986
2,15,0.000,24.770,24.475,5350,324,1002
3,0,0.000,22.980,23.977,5257,317,986
4,0,0.000,26.720,24.662,5235,316,982
5,15,0.000,24.770,24.684,5354,324,1002
6,83,0.000,22.430,24.308,5238,317,986
7,0,0.000,31.020,25.267,7112,431,1355
8,0,0.000,31.020,25.986,7136,431,1355
9,0,0.000,22.540,25.603,7245,436,1372
10,0,0.000,26.420,25.685,7172,434,1365
11,0,0.000,31.020,26.170,7087,431,1355
12,28,0.000,21.180,25.754,8119,492,1495
13,15,0.000,31.670,26.209,7290,439,1375
14,15,0.000,31.670,26.599,7307,439,1375
15,15,0.000,22.010,26.293,7350,445,1394
16,15,0.000,25.350,26.234,7308,443,1388
17,15,0.000,31.670,26.554,7264,439,1375
18,31,0.000,25.790,26.512,7441,449,1406
19,0,0.000,25.240,26.445,7181,435,1368
20,147,0.000,27.070,26.476,7123,432,1359
21,0,0.000,25.260,26.418,7081,431,1355
22,0,0.000,27.560,26.470,7186,433,1362
23,143,0.000,23.310,26.333,8156,491,1492
24,147,0.000,27.070,26.363,7152,432,1359
25,0,0.000,33.620,26.654,7114,431,1355
26,24,0.000,29.120,26.748,7334,444,1387
27,0,0.000,26.000,26.721,7164,433,1362
28,0,0.000,32.820,26.939,7145,431,1355
29,24,0.000,29.120,27.014,7352,444,1387
30,26,0.000,28.500,27.063,8350,506,1523
31,15,0.000,31.430,27.204,7170,435,1362
32,15,0.000,31.430,27.336,7192,435,1362
33,15,0.000,21.910,27.172,7307,440,1378
34,15,0.000,24.990,27.108,7269,439,1375
35,15,0.000,31.430,27.231,7175,435,1362
36,21,0.000,25.830,27.192,7343,443,1388
37,29,0.000,23.550,27.094,7220,436,1370
38,194,0.000,25.760,27.059,7096,428,1346
39,194,0.000,25.760,27.025,7076,428,1346
40,29,0.000,26.830,27.020,7136,432,1357
41,39,0.000,27.280,27.027,8573,517,1548
42,194,0.000,25.760,26.997,7100,428,1346
43,392,0.000,55.610,27.662,23974,1450,4612
44,328,0.000,31.390,27.747,28627,1723,5222
45,310,0.000,69.980,28.685,48128,2903,8977
