episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish
1,1,-6.1432,-6.1432,0.000,178,437,1.000,55,0.00,18,43.74,0,0
2,1,-5.5361,-5.8396,0.000,139,349,0.995,50,0.00,32,32.08,0,0
3,1,-5.9941,-5.8911,0.000,114,281,0.990,45,0.00,44,29.95,0,0
4,1,-5.5836,-5.8142,0.000,86,213,0.985,40,0.00,53,21.65,0,0
5,1,-5.7832,-5.8080,1.313,251,704,0.980,70,0.00,79,220.21,0,0
6,1,-8.1207,-6.1935,1.381,306,787,0.975,70,0.00,110,235.71,0,0
7,1,-4.7192,-5.9829,1.314,297,721,0.970,65,0.00,140,253.37,0,0
8,1,-6.2193,-6.0124,1.539,108,259,0.966,40,0.00,151,78.60,0,0
9,1,-5.2194,-5.9243,1.320,180,453,0.961,55,0.00,169,154.83,0,0
10,1,-4.2790,-5.7598,1.123,203,523,0.956,60,0.00,190,171.40,0,0
11,1,-10.4416,-6.1854,0.709,292,710,0.951,65,0.00,220,249.54,0,0
12,1,-8.5478,-6.3823,0.454,274,679,0.946,65,0.00,248,235.07,0,0
13,1,-6.8914,-6.4214,0.304,253,611,0.942,65,0.00,274,216.79,0,0
14,1,-4.3700,-6.2749,0.234,309,830,0.937,75,0.00,305,269.68,0,0
15,1,-3.9678,-6.1211,0.204,144,369,0.932,50,0.00,320,125.32,0,0
16,1,-5.4058,-6.0764,0.231,99,244,0.928,40,0.00,330,86.30,0,0
17,1,-7.1591,-6.1401,0.222,278,737,0.923,70,0.00,358,231.93,0,0
18,1,-5.7897,-6.1206,0.226,110,276,0.918,45,0.00,369,95.05,0,0
19,1,-6.2469,-6.1273,0.229,85,207,0.914,35,0.00,378,81.02,0,0
20,1,-6.0634,-6.1241,0.213,103,252,0.909,40,0.00,389,87.04,0,0
21,1,-4.4722,-6.0454,0.199,152,379,0.905,50,0.00,405,126.90,0,0
22,1,-6.1085,-6.0483,0.246,87,209,0.900,35,0.00,414,77.25,0,0
23,1,-6.9388,-6.0870,0.229,309,842,0.896,75,0.00,445,261.71,0,0
24,1,-2.7540,-5.9481,0.274,134,345,0.891,50,0.00,459,116.53,0,0
25,1,-2.8114,-5.8227,0.266,161,442,0.887,55,0.00,476,173.76,0,0
26,1,-5.3707,-5.8053,0.234,162,393,0.882,50,0.00,493,138.35,0,0
27,1,-5.4593,-5.7925,0.286,134,328,0.878,45,0.00,507,120.65,0,0
28,1,-6.2973,-5.8105,0.273,71,175,0.873,35,0.00,515,64.20,0,0
29,1,-3.6619,-5.7364,0.281,159,409,0.869,55,0.00,531,134.99,0,0
30,1,-5.7229,-5.7359,0.310,171,413,0.865,55,0.00,549,152.24,0,0
31,1,-6.1689,-5.7499,0.329,154,380,0.860,50,0.00,565,134.52,0,0
32,1,-10.7329,-5.9056,0.295,283,689,0.856,65,0.00,594,237.86,0,0
33,1,-3.2523,-5.8252,0.333,323,864,0.852,75,0.00,627,278.88,0,0
34,1,-6.8385,-5.8550,0.365,340,902,0.848,75,0.00,661,290.38,0,0
35,1,-3.6538,-5.7921,0.418,158,396,0.843,50,0.00,677,137.57,0,0
36,1,-8.0495,-5.8548,0.385,480,1268,0.839,85,0.00,725,397.95,0,0
37,1,-6.0241,-5.8594,0.576,139,346,0.835,50,0.00,739,127.03,0,0
38,1,-3.7532,-5.8040,0.462,588,1478,0.831,85,0.00,798,518.48,0,0
39,1,-6.5776,-5.8238,0.494,379,953,0.827,75,0.00,836,326.56,0,0
40,1,-6.7898,-5.8480,0.421,210,514,0.822,60,0.00,857,183.53,0,0
41,1,-5.5131,-5.8398,0.499,379,974,0.818,75,0.00,895,326.86,0,0
42,1,-4.3825,-5.8051,0.414,373,944,0.814,75,0.00,933,323.07,0,0
43,1,-8.2789,-5.8626,0.391,345,880,0.810,75,0.00,968,294.15,0,0
44,1,-11.4587,-5.9898,0.377,494,1222,0.806,80,0.00,1018,434.73,0,0
45,1,-4.4708,-5.9561,0.252,113,281,0.802,45,0.00,1030,99.88,0,0
46,1,-1.6414,-5.8623,0.290,230,595,0.798,65,0.00,1053,205.40,0,0
47,1,-6.8531,-5.8834,0.297,341,904,0.794,75,0.00,1088,292.55,0,0
48,1,-5.3533,-5.8723,0.424,69,172,0.790,35,0.00,1095,57.17,0,0
49,1,-4.7607,-5.8496,0.427,318,858,0.786,75,0.00,1127,276.36,0,0
50,1,-9.4210,-5.9211,0.381,569,1383,0.782,80,0.00,1184,487.75,0,0
51,1,-4.5800,-5.8898,0.280,102,268,0.778,45,0.00,1195,132.67,0,0
52,1,-6.1028,-5.9011,0.409,115,281,0.774,45,0.00,1207,98.23,0,0
53,1,-3.9955,-5.8611,0.372,247,673,0.771,70,0.00,1232,210.08,0,0
54,1,-4.3808,-5.8371,0.449,169,413,0.767,55,0.00,1249,152.09,0,0
55,1,-5.8569,-5.8386,0.518,102,250,0.763,40,0.00,1260,95.46,0,0
56,1,-5.4535,-5.7852,0.312,266,699,0.759,70,0.00,1287,235.92,0,0
57,1,-5.3771,-5.7984,0.415,219,541,0.755,60,0.00,1309,187.69,0,0
58,1,-4.9196,-5.7724,0.383,97,258,0.751,45,0.00,1319,80.40,0,0
59,1,-2.3977,-5.7160,0.442,307,828,0.748,75,0.00,1350,265.00,0,0
60,1,-8.0821,-5.7920,0.327,361,899,0.744,75,0.00,1387,326.70,0,0
61,1,-9.3380,-5.7699,0.428,543,1343,0.740,85,0.00,1442,470.99,0,0
62,1,-2.8268,-5.6555,0.667,139,373,0.737,50,0.00,1456,125.09,0,0
63,1,-7.2300,-5.6623,0.387,172,422,0.733,55,0.00,1474,151.64,0,0
64,1,-6.6550,-5.7080,0.404,377,977,0.729,80,0.00,1512,366.31,0,0
65,1,-2.9408,-5.6875,0.359,184,488,0.726,60,0.00,1531,161.17,0,0
66,1,-3.9786,-5.6589,0.308,126,327,0.722,50,0.00,1544,132.48,0,0
67,1,-6.0313,-5.6364,0.344,313,847,0.718,75,0.00,1576,261.29,0,0
68,1,-2.9162,-5.5789,0.316,219,584,0.715,65,0.00,1598,229.56,0,0
69,1,-5.3796,-5.5615,0.309,146,363,0.711,50,0.00,1613,124.22,0,0
70,1,-6.8127,-5.5765,0.316,282,707,0.708,65,0.00,1642,246.79,0,0
71,1,-7.4921,-5.6369,0.266,196,479,0.704,55,0.00,1662,171.85,0,0
72,1,-4.2515,-5.5998,0.252,131,322,0.701,45,0.00,1676,115.23,0,0
73,1,-6.1069,-5.5831,0.356,281,780,0.697,75,0.00,1705,272.97,0,0
74,1,-5.5246,-5.6386,0.383,132,330,0.694,50,0.00,1719,123.63,0,0
75,1,-4.3010,-5.6683,0.434,513,1283,0.690,80,0.00,1771,460.17,0,0
76,1,-6.2473,-5.6859,0.319,453,1134,0.687,80,0.00,1817,389.48,0,0
77,1,-5.9531,-5.6958,0.330,349,897,0.683,75,0.00,1852,300.10,0,0
