episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish
1,1,-5.7559,-5.7559,0.000,89,215,1.000,10,0.00,9,177.37,0,0
2,1,-5.5427,-5.6493,0.000,157,393,0.998,15,0.00,25,341.98,0,0
3,1,-5.9204,-5.7397,0.000,94,229,0.996,10,0.00,35,176.70,0,0
4,1,-7.0103,-6.0573,1.613,289,709,0.994,25,0.00,64,644.86,0,0
5,1,-2.3106,-5.3080,1.174,294,723,0.992,25,0.00,94,1270.70,0,0
6,1,-6.0674,-5.4345,1.013,111,271,0.990,10,0.00,106,496.16,0,0
7,1,-9.2290,-5.9766,0.759,362,891,0.988,30,0.00,143,1474.70,0,0
8,1,-5.3973,-5.9042,0.938,184,451,0.986,20,0.00,162,812.89,0,0
9,1,-5.6574,-5.8768,0.821,65,159,0.984,10,0.00,169,265.44,0,0
10,1,-6.3648,-5.9256,0.616,167,406,0.982,15,0.00,186,759.82,0,0
11,1,-6.0139,-5.9336,0.667,134,327,0.980,15,0.00,200,576.32,0,0
12,1,-5.7170,-5.9155,1.178,98,249,0.978,10,0.00,210,445.56,0,0
13,1,-6.0786,-5.9281,0.558,96,232,0.976,10,0.00,220,445.35,0,0
14,1,-6.4937,-5.9685,1.383,132,321,0.974,15,0.00,234,581.49,0,0
15,1,-5.7285,-5.9525,0.979,150,375,0.972,15,0.00,249,629.33,0,0
16,1,-6.3953,-5.9802,1.218,71,172,0.970,10,0.00,257,302.21,0,0
17,1,-5.8941,-5.9751,0.648,229,574,0.968,20,0.00,280,1027.23,0,0
18,1,-5.7563,-5.9630,0.619,101,247,0.967,10,0.00,291,451.05,0,0
19,1,-4.8571,-5.9047,0.446,161,389,0.965,15,0.00,308,716.72,0,0
20,1,-5.4559,-5.8823,0.305,75,188,0.963,10,0.00,316,314.66,0,0
21,1,-7.6211,-5.9651,0.323,360,909,0.961,30,0.00,352,1627.24,0,0
22,1,-2.9847,-5.8296,0.298,319,852,0.959,30,0.00,384,1459.34,0,0
23,1,-7.4944,-5.9020,0.283,162,406,0.957,15,0.00,401,665.13,0,0
24,1,-5.7058,-5.8938,0.277,295,765,0.955,25,0.00,431,1268.70,0,0
25,1,-8.8374,-6.0116,0.326,313,765,0.953,25,0.00,463,1335.81,0,0
26,1,-6.0966,-6.0149,0.253,144,366,0.951,15,0.00,478,693.01,0,0
27,1,-4.6415,-5.9640,0.417,107,287,0.949,15,0.00,489,453.46,0,0
28,1,-5.3710,-5.9428,0.317,121,304,0.947,15,0.00,502,534.94,0,0
