episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish
1,1,-7.2787,-7.2787,0.000,131,318,1.000,45,0.00,14,63.79,0,0
2,1,-5.3452,-6.3119,0.000,103,257,0.995,40,0.00,25,48.76,0,0
3,1,-6.2550,-6.2930,0.000,115,281,0.990,45,0.00,37,54.89,0,0
4,1,-7.7505,-6.6573,0.000,234,571,0.985,60,0.00,61,115.44,0,0
5,1,-5.5018,-6.4262,1.471,145,383,0.980,55,0.00,76,123.75,0,0
6,1,-5.3419,-6.2455,1.390,127,312,0.975,45,0.00,89,110.99,0,0
7,1,-4.4469,-5.9886,1.662,135,345,0.970,50,0.00,103,114.90,0,0
8,1,-6.0209,-5.9926,1.491,101,247,0.966,40,0.00,114,90.61,0,0
9,1,-5.1940,-5.9039,1.721,115,284,0.961,45,0.00,126,97.61,0,0
10,1,-5.1334,-5.8268,1.189,110,281,0.956,45,0.00,137,118.44,0,0
11,1,-4.7722,-5.7309,1.049,187,475,0.951,60,0.00,156,170.54,0,0
12,1,-4.1899,-5.6025,0.906,168,418,0.946,55,0.00,173,150.20,0,0
13,1,-5.3213,-5.5809,0.572,223,561,0.942,60,0.00,196,197.40,0,0
14,1,-5.5568,-5.5792,0.352,107,265,0.937,40,0.00,207,89.62,0,0
15,1,-5.0691,-5.5452,0.249,102,260,0.932,40,0.00,218,93.21,0,0
16,1,-5.1008,-5.5174,0.278,173,447,0.928,55,0.00,236,153.73,0,0
17,1,-5.6313,-5.5241,0.254,113,291,0.923,45,0.00,248,100.51,0,0
18,1,-8.1889,-5.6721,0.222,285,730,0.918,70,0.00,277,240.69,0,0
19,1,-6.2143,-5.7007,0.204,346,865,0.914,75,0.00,312,291.10,0,0
20,1,-6.5153,-5.7414,0.211,83,199,0.909,35,0.00,321,73.22,0,0
21,1,-1.4972,-5.5393,0.179,271,663,0.905,65,0.00,349,247.24,0,0
22,1,-2.6398,-5.4075,0.194,331,813,0.900,70,0.00,383,294.65,0,0
23,1,-5.0513,-5.3920,0.188,158,397,0.896,55,0.00,399,135.36,0,0
24,1,-4.6447,-5.3609,0.214,254,673,0.891,70,0.00,425,230.96,0,0
25,1,-5.8280,-5.3796,0.217,88,226,0.887,40,0.00,434,77.22,0,0
26,1,-5.0214,-5.3658,0.216,108,262,0.882,40,0.00,445,99.31,0,0
27,1,-5.8089,-5.3822,0.153,81,201,0.878,35,0.00,454,73.82,0,0
28,1,-5.9078,-5.4010,0.218,85,206,0.873,35,0.00,463,77.90,0,0
29,1,-8.1067,-5.4943,0.166,414,1067,0.869,80,0.00,505,364.66,0,0
30,1,-3.2577,-5.4197,0.164,177,484,0.865,60,0.00,523,154.11,0,0
31,1,-4.8904,-5.4026,0.186,108,275,0.860,45,0.00,534,94.22,0,0
32,1,-4.4541,-5.3730,0.209,142,374,0.856,50,0.00,549,124.09,0,0
33,1,-3.7172,-5.3228,0.184,104,278,0.852,45,0.00,560,96.30,0,0
34,1,-6.2901,-5.3513,0.167,244,626,0.848,65,0.00,585,211.99,0,0
35,1,-6.0202,-5.3704,0.184,231,648,0.843,70,0.00,609,201.86,0,0
36,1,-4.5315,-5.3471,0.227,188,477,0.839,60,0.00,628,162.49,0,0
37,1,-9.3836,-5.4562,0.239,413,1058,0.835,80,0.00,670,359.86,0,0
38,1,-7.5213,-5.5105,0.259,321,814,0.831,70,0.00,703,278.13,0,0
39,1,-4.3877,-5.4817,0.310,350,877,0.827,75,0.00,738,303.81,0,0
40,1,-1.4702,-5.3814,0.286,318,798,0.822,70,0.00,770,277.86,0,0
41,1,-7.4915,-5.4329,0.323,198,480,0.818,55,0.00,790,175.60,0,0
42,1,-3.2099,-5.3800,0.304,331,881,0.814,75,0.00,824,292.63,0,0
43,1,-3.1301,-5.3277,0.273,176,461,0.810,55,0.00,842,151.82,0,0
44,1,-5.7270,-5.3367,0.293,94,229,0.806,40,0.00,852,85.32,0,0
45,1,-6.8156,-5.3696,0.308,115,277,0.802,45,0.00,864,141.38,0,0
46,1,2.2807,-5.2033,0.278,342,900,0.798,75,0.00,899,302.68,0,0
47,1,-5.3497,-5.2064,0.274,344,856,0.794,70,0.00,934,313.02,0,0
48,1,-7.7393,-5.2592,0.252,240,588,0.790,60,0.00,958,209.74,0,0
49,1,-5.6526,-5.2672,0.243,204,507,0.786,60,0.00,979,171.78,0,0
50,1,-4.9693,-5.2612,0.267,97,245,0.782,40,0.00,989,83.35,0,0
51,1,-3.5210,-5.1861,0.276,667,1778,0.778,95,0.00,1056,599.42,0,0
52,1,-8.1964,-5.2431,0.330,468,1179,0.774,80,0.00,1103,410.48,0,0
53,1,-5.0571,-5.2192,0.338,205,510,0.771,60,0.00,1124,183.32,0,0
54,1,-5.3800,-5.1717,0.277,106,262,0.767,40,0.00,1135,96.48,0,0
55,1,-7.0134,-5.2020,0.323,381,1011,0.763,80,0.00,1174,378.17,0,0
56,1,-5.5503,-5.2061,0.334,258,644,0.759,65,0.00,1200,252.89,0,0
57,1,-6.3081,-5.2434,0.373,320,848,0.755,75,0.00,1232,265.25,0,0
58,1,-4.5990,-5.2149,0.355,429,1157,0.751,85,0.00,1275,393.40,0,0
59,1,-4.5496,-5.2020,0.377,220,630,0.748,70,0.00,1297,191.39,0,0
60,1,-5.5377,-5.2101,0.437,264,655,0.744,65,0.00,1324,232.13,0,0
61,1,-3.6586,-5.1879,0.367,192,561,0.740,65,0.00,1344,173.30,0,0
62,1,-6.0263,-5.2246,0.411,273,713,0.737,70,0.00,1372,270.40,0,0
63,1,-5.2431,-5.2230,0.341,361,985,0.733,80,0.00,1409,330.03,0,0
64,1,-5.4564,-5.2210,0.295,221,599,0.729,65,0.00,1432,193.89,0,0
65,1,-2.5524,-5.1707,0.367,258,697,0.726,70,0.00,1458,224.40,0,0
66,1,-5.0294,-5.1693,0.384,386,1012,0.722,80,0.00,1497,336.38,0,0
67,1,-3.0730,-5.1181,0.344,290,763,0.718,70,0.00,1526,254.10,0,0
68,1,-6.6215,-5.0867,0.358,371,972,0.715,80,0.00,1564,328.45,0,0
69,1,-5.0917,-5.0643,0.291,110,278,0.711,45,0.00,1575,94.94,0,0
70,1,-3.8446,-5.0109,0.283,354,984,0.708,80,0.00,1611,312.01,0,0
71,1,0.3233,-4.9745,0.409,237,688,0.704,75,0.00,1635,205.69,0,0
72,1,-4.7405,-5.0165,0.336,99,267,0.701,45,0.00,1645,86.38,0,0
73,1,-0.4863,-4.9252,0.306,246,694,0.697,70,0.00,1670,221.58,0,0
74,1,-3.5291,-4.9029,0.306,256,718,0.694,75,0.00,1696,225.34,0,0
75,1,-4.4211,-4.8747,0.326,149,399,0.690,55,0.00,1711,130.57,0,0
76,1,-6.4953,-4.9042,0.299,266,733,0.687,70,0.00,1738,226.97,0,0
77,1,-1.3241,-4.8145,0.272,325,852,0.683,75,0.00,1771,287.47,0,0
78,1,-3.7793,-4.7719,0.272,204,605,0.680,70,0.00,1792,170.70,0,0
79,1,-4.4263,-4.6983,0.324,398,1027,0.676,80,0.00,1832,344.69,0,0
80,1,-4.8362,-4.7299,0.317,248,641,0.673,65,0.00,1857,221.10,0,0
81,1,-6.8565,-4.7692,0.375,141,343,0.670,50,0.00,1872,125.88,0,0
82,1,-4.7868,-4.7759,0.404,157,409,0.666,55,0.00,1888,135.90,0,0
83,1,-2.0309,-4.7422,0.276,297,875,0.663,80,0.00,1918,252.35,0,0
84,1,0.4971,-4.6064,0.511,296,796,0.660,75,0.00,1948,272.84,0,0
85,1,-4.8008,-4.5820,0.349,354,973,0.656,80,0.00,1984,301.54,0,0
86,1,-3.5358,-4.5621,0.408,204,538,0.653,60,0.00,2005,177.58,0,0
