episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish
1,1,-6.1009,-6.1009,0.000,70,168,1.000,30,0.00,7,17.80,0,0
2,1,-6.2269,-6.1639,0.000,314,812,0.998,70,0.00,39,142.19,0,0
3,1,-6.0670,-6.1316,0.000,113,279,0.996,45,0.00,51,39.65,0,0
4,1,-5.7427,-6.0344,1.264,163,396,0.994,50,0.00,68,102.01,0,0
5,1,-5.6176,-5.9510,1.324,101,245,0.992,40,0.00,79,99.46,0,0
6,1,-4.9715,-5.7878,1.453,98,254,0.990,40,0.00,89,90.22,0,0
7,1,-3.7884,-5.5021,1.432,153,405,0.988,55,0.00,105,137.91,0,0
8,1,-8.6958,-5.9013,0.998,207,500,0.986,55,0.00,126,164.90,0,0
9,1,-4.9012,-5.7902,0.453,238,651,0.984,70,0.00,150,189.99,0,0
10,1,-5.2805,-5.7393,0.427,143,372,0.982,50,0.00,165,111.46,0,0
11,1,-5.6186,-5.7283,0.306,169,418,0.980,55,0.00,182,130.35,0,0
12,1,-3.5998,-5.5509,0.258,367,954,0.978,80,0.00,219,294.59,0,0
13,1,-4.7738,-5.4911,0.249,217,559,0.976,60,0.00,241,169.78,0,0
14,1,-5.7138,-5.5070,0.249,132,331,0.974,50,0.00,255,112.01,0,0
15,1,-8.3157,-5.6943,0.211,255,626,0.972,65,0.00,281,248.89,0,0
16,1,-5.0382,-5.6533,0.208,87,214,0.970,40,0.00,290,65.61,0,0
17,1,-4.8602,-5.6066,0.220,115,314,0.968,50,0.00,302,109.54,0,0
18,1,-6.2311,-5.6413,0.231,245,596,0.967,65,0.00,327,185.55,0,0
19,1,-7.4918,-5.7387,0.279,266,656,0.965,65,0.00,354,194.74,0,0
20,1,-6.2283,-5.7632,0.296,266,728,0.963,70,0.00,381,194.54,0,0
21,1,-6.8366,-5.8143,0.285,82,197,0.961,35,0.00,390,59.40,0,0
22,1,-3.9821,-5.7310,0.282,118,294,0.959,45,0.00,402,88.91,0,0
23,1,-5.2340,-5.7094,0.323,219,625,0.957,70,0.00,424,162.41,0,0
24,1,-5.3511,-5.6945,0.324,131,321,0.955,45,0.00,438,107.86,0,0
25,1,-6.1348,-5.7121,0.336,68,164,0.953,30,0.00,445,57.30,0,0
26,1,-5.5255,-5.7049,0.300,64,163,0.951,30,0.00,452,60.06,0,0
27,1,-6.5333,-5.7356,0.346,170,413,0.949,55,0.00,469,155.20,0,0
28,1,-1.2628,-5.5759,0.356,318,788,0.947,70,0.00,501,281.32,0,0
29,1,-6.4873,-5.6073,0.311,75,181,0.945,35,0.00,509,60.43,0,0
30,1,-5.4956,-5.6036,0.407,239,691,0.944,70,0.00,533,196.44,0,0
31,1,-5.4384,-5.5982,0.403,133,325,0.942,45,0.00,547,105.57,0,0
32,1,-6.2675,-5.6192,0.359,103,251,0.940,40,0.00,558,83.91,0,0
33,1,-6.4460,-5.6442,0.366,169,430,0.938,55,0.00,575,137.26,0,0
34,1,-3.4708,-5.5803,0.360,203,602,0.936,70,0.00,596,179.85,0,0
35,1,-4.9760,-5.5630,0.380,249,615,0.934,65,0.00,621,217.01,0,0
36,1,-6.6771,-5.5940,0.318,114,274,0.932,45,0.00,633,113.95,0,0
37,1,-4.8663,-5.5743,0.363,123,325,0.930,50,0.00,646,101.28,0,0
38,1,-5.3357,-5.5680,0.326,80,200,0.929,35,0.00,654,52.27,0,0
39,1,-5.2188,-5.5591,0.353,134,334,0.927,50,0.00,668,103.27,0,0
40,1,-5.5791,-5.5596,0.313,105,266,0.925,45,0.00,679,79.06,0,0
41,1,-6.0414,-5.5713,0.357,72,181,0.923,35,0.00,687,57.02,0,0
42,1,-5.6023,-5.5721,0.334,365,910,0.921,75,0.00,724,259.20,0,0
43,1,-4.6757,-5.5512,0.327,207,517,0.919,60,0.00,745,143.90,0,0
44,1,-6.9286,-5.5825,0.420,530,1463,0.918,90,0.00,798,397.61,0,0
45,1,-7.8182,-5.6322,0.343,273,698,0.916,70,0.00,826,204.01,0,0
46,1,-5.5164,-5.6297,0.384,130,324,0.914,45,0.00,839,97.81,0,0
47,1,-8.3973,-5.6886,0.404,404,1044,0.912,80,0.00,880,297.47,0,0
48,1,-4.9654,-5.6735,0.404,153,385,0.910,50,0.00,896,118.34,0,0
49,1,-4.9896,-5.6595,0.416,93,229,0.908,40,0.00,906,72.91,0,0
50,1,-5.0299,-5.6470,0.457,114,282,0.907,45,0.00,918,93.55,0,0
51,1,-4.9706,-5.6243,0.438,144,366,0.905,50,0.00,933,118.84,0,0
52,1,-7.1793,-5.6434,0.397,197,484,0.903,55,0.00,953,160.90,0,0
53,1,-5.1362,-5.6248,0.393,200,499,0.901,60,0.00,973,163.76,0,0
54,1,-6.8571,-5.6471,0.423,215,559,0.899,60,0.00,995,177.36,0,0
55,1,-5.7904,-5.6505,0.420,91,233,0.898,40,0.00,1005,75.71,0,0
56,1,-7.7186,-5.7055,0.389,359,932,0.896,75,0.00,1041,314.65,0,0
57,1,-4.1124,-5.7119,0.383,291,787,0.894,75,0.00,1071,241.74,0,0
58,1,-5.0884,-5.6398,0.399,100,251,0.892,40,0.00,1081,76.72,0,0
59,1,-5.4709,-5.6512,0.405,143,348,0.890,50,0.00,1096,211.47,0,0
60,1,-5.4338,-5.6543,0.450,114,284,0.889,45,0.00,1108,86.46,0,0
61,1,-2.5124,-5.5921,0.348,209,543,0.887,60,0.00,1129,155.96,0,0
62,1,-5.1630,-5.6234,0.419,196,483,0.885,55,0.00,1149,148.19,0,0
63,1,-5.2558,-5.6330,0.349,261,728,0.883,75,0.00,1176,209.33,0,0
64,1,-2.2795,-5.5643,0.393,278,701,0.882,70,0.00,1204,228.76,0,0
65,1,-6.0696,-5.5194,0.332,124,303,0.880,45,0.00,1217,88.93,0,0
66,1,-2.3698,-5.4661,0.437,165,454,0.878,60,0.00,1234,130.80,0,0
67,1,-5.2434,-5.4737,0.434,315,808,0.876,70,0.00,1266,249.56,0,0
68,1,-5.2326,-5.4538,0.398,70,173,0.874,35,0.00,1273,53.62,0,0
69,1,-8.1726,-5.4674,0.371,285,705,0.873,65,0.00,1302,206.91,0,0
70,1,-5.9629,-5.4621,0.393,266,701,0.871,70,0.00,1329,189.41,0,0
71,1,-10.3788,-5.5329,0.364,485,1213,0.869,80,0.00,1378,370.08,0,0
72,1,-7.4587,-5.6024,0.332,314,770,0.867,70,0.00,1410,263.36,0,0
73,1,-6.1351,-5.6205,0.296,356,902,0.866,75,0.00,1446,289.43,0,0
74,1,-5.6643,-5.6267,0.339,457,1176,0.864,80,0.00,1492,347.99,0,0
75,1,-5.9274,-5.6226,0.296,62,150,0.862,30,0.00,1499,85.09,0,0
76,1,-3.6456,-5.5850,0.327,290,748,0.861,70,0.00,1528,241.76,0,0
77,1,-6.3521,-5.5814,0.383,269,680,0.859,65,0.00,1555,208.14,0,0
78,1,-5.6544,-5.6692,0.316,128,309,0.857,45,0.00,1568,90.32,0,0
79,1,-7.2077,-5.6836,0.355,443,1118,0.855,80,0.00,1613,321.37,0,0
80,1,-6.1705,-5.6971,0.366,184,448,0.854,55,0.00,1632,141.42,0,0
81,1,-5.6779,-5.7019,0.311,73,181,0.852,35,0.00,1640,65.65,0,0
82,1,-1.6722,-5.6100,0.305,287,741,0.850,70,0.00,1669,232.13,0,0
83,1,-5.2897,-5.5869,0.274,240,621,0.849,65,0.00,1693,207.23,0,0
84,1,-6.4256,-5.6459,0.325,131,319,0.847,45,0.00,1707,123.68,0,0
85,1,-5.0045,-5.6465,0.313,127,312,0.845,45,0.00,1720,110.36,0,0
86,1,-4.7574,-5.6081,0.339,125,317,0.844,45,0.00,1733,99.31,0,0
87,1,-7.2003,-5.6548,0.249,316,790,0.842,70,0.00,1765,241.53,0,0
88,1,-4.2887,-5.6339,0.264,158,397,0.840,55,0.00,1781,132.99,0,0
89,1,-5.1843,-5.6332,0.253,98,241,0.838,40,0.00,1791,79.55,0,0
90,1,-6.1592,-5.6448,0.311,62,150,0.837,30,0.00,1798,50.32,0,0
91,1,-6.2768,-5.6495,0.204,78,193,0.835,35,0.00,1806,62.39,0,0
92,1,-6.5204,-5.6678,0.294,308,834,0.833,75,0.00,1837,262.52,0,0
93,1,-5.7626,-5.6896,0.289,84,206,0.832,35,0.00,1846,105.97,0,0
94,1,-8.4091,-5.7192,0.337,224,538,0.830,60,0.00,1869,185.84,0,0
95,1,-3.8664,-5.6402,0.238,139,357,0.828,50,0.00,1883,112.07,0,0
96,1,-6.4223,-5.6583,0.290,224,581,0.827,65,0.00,1906,175.99,0,0
97,1,-5.9791,-5.6099,0.268,148,369,0.825,50,0.00,1921,118.64,0,0
98,1,-6.5586,-5.6418,0.295,217,526,0.823,60,0.00,1943,180.31,0,0
99,1,-4.0813,-5.6236,0.254,197,499,0.822,60,0.00,1963,163.28,0,0
100,1,-7.6394,-5.6758,0.250,252,646,0.820,65,0.00,1989,200.82,0,0
101,1,-6.5447,-5.7073,0.298,78,187,0.819,35,0.00,1997,60.43,0,0
102,1,-7.3773,-5.7112,0.291,272,712,0.817,70,0.00,2025,189.51,0,0
